Flag N d M NbThreads AvgTime Schedule_kind Chunk_size Probability
1 100 0.300 1000 2 1638 auto 2 1.000
1 100 0.400 1000 2 1918 auto 2 1.000
1 100 0.500 1000 2 2124 auto 2 1.000
1 100 0.600 1000 2 2271 auto 2 1.000
1 100 0.700 1000 2 2377 auto 2 1.000
1 100 0.800 1000 2 2452 auto 2 1.000
1 100 0.900 1000 2 2513 auto 2 1.000
1 100 1.000 1000 2 2608 auto 2 1.000
1 100 0.000 1000 2 324 auto 4 0.000
1 100 0.100 1000 2 362 auto 4 0.000
1 100 0.200 1000 2 669 auto 4 0.000
1 100 0.300 1000 2 1632 auto 4 1.000
1 100 0.400 1000 2 1921 auto 4 1.000
1 100 0.500 1000 2 2123 auto 4 1.000
1 100 0.600 1000 2 2262 auto 4 1.000
1 100 0.700 1000 2 2378 auto 4 1.000
1 100 0.800 1000 2 2454 auto 4 1.000
1 100 0.900 1000 2 2523 auto 4 1.000
1 100 1.000 1000 2 2610 auto 4 1.000
1 100 0.000 1000 2 328 auto 500 0.000
1 100 0.100 1000 2 360 auto 500 0.000
1 100 0.200 1000 2 485 auto 500 0.000
1 100 0.300 1000 2 1625 auto 500 1.000
1 100 0.400 1000 2 1926 auto 500 1.000
1 100 0.500 1000 2 2136 auto 500 1.000
1 100 0.600 1000 2 2302 auto 500 1.000
1 100 0.700 1000 2 2390 auto 500 1.000
1 100 0.800 1000 2 2464 auto 500 1.000
1 100 0.900 1000 2 2527 auto 500 1.000
1 100 1.000 1000 2 2618 auto 500 1.000
1 100 0.000 1000 2 324 auto 64 0.000
1 100 0.100 1000 2 356 auto 64 0.000
1 100 0.200 1000 2 650 auto 64 0.000
1 100 0.300 1000 2 1638 auto 64 1.000
1 100 0.400 1000 2 1918 auto 64 1.000
1 100 0.500 1000 2 2124 auto 64 1.000
1 100 0.600 1000 2 2271 auto 64 1.000
1 100 0.700 1000 2 2374 auto 64 1.000
1 100 0.800 1000 2 2454 auto 64 1.000
1 100 0.900 1000 2 2518 auto 64 1.000
1 100 1.000 1000 2 2611 auto 64 1.000
1 100 0.000 1000 2 326 auto 8 0.000
1 100 0.100 1000 2 379 auto 8 0.000
1 100 0.200 1000 2 566 auto 8 0.000
1 100 0.300 1000 2 1624 auto 8 1.000
1 100 0.400 1000 2 1923 auto 8 1.000
1 100 0.500 1000 2 2121 auto 8 1.000
1 100 0.600 1000 2 2272 auto 8 1.000
1 100 0.700 1000 2 2380 auto 8 1.000
1 100 0.800 1000 2 2459 auto 8 1.000
1 100 0.900 1000 2 2516 auto 8 1.000
1 100 1.000 1000 2 2610 auto 8 1.000
1 100 0.000 1000 2 332 dynamic 128 0.000
1 100 0.100 1000 2 367 dynamic 128 0.000
1 100 0.200 1000 2 768 dynamic 128 0.361
1 100 0.300 1000 2 1671 dynamic 128 1.000
1 100 0.400 1000 2 1951 dynamic 128 1.000
1 100 0.500 1000 2 2159 dynamic 128 1.000
1 100 0.600 1000 2 2309 dynamic 128 1.000
1 100 0.700 1000 2 2426 dynamic 128 1.000
1 100 0.800 1000 2 2488 dynamic 128 1.000
1 100 0.900 1000 2 2562 dynamic 128 1.000
1 100 1.000 1000 2 2665 dynamic 128 1.000
