Flag N d M NbThreads AvgTime Probability
1 50 0.980 1000 2 642 1.000
1 50 1.000 1000 2 644 1.000
1 50 0.000 10000 2 861 0.000
1 50 0.020 10000 2 885 0.000
1 50 0.040 10000 2 905 0.000
1 50 0.060 10000 2 917 0.000
1 50 0.080 10000 2 954 0.000
1 50 0.100 10000 2 978 0.000
1 50 0.120 10000 2 1034 0.000
1 50 0.140 10000 2 1245 0.000
1 50 0.160 10000 2 1479 0.000
1 50 0.180 10000 2 1693 0.000
1 50 0.200 10000 2 2221 0.559
1 50 0.220 10000 2 2878 1.000
1 50 0.240 10000 2 3303 1.000
1 50 0.260 10000 2 3614 1.000
1 50 0.280 10000 2 3835 1.000
1 50 0.300 10000 2 4055 1.000
1 50 0.320 10000 2 4192 1.000
1 50 0.340 10000 2 4332 1.000
1 50 0.360 10000 2 4484 1.000
1 50 0.380 10000 2 4624 1.000
1 50 0.400 10000 2 4720 1.000
1 50 0.420 10000 2 4837 1.000
1 50 0.440 10000 2 4952 1.000
1 50 0.460 10000 2 5055 1.000
1 50 0.480 10000 2 5145 1.000
1 50 0.500 10000 2 5242 1.000
1 50 0.520 10000 2 5312 1.000
1 50 0.540 10000 2 5391 1.000
1 50 0.560 10000 2 5452 1.000
1 50 0.580 10000 2 5539 1.000
1 50 0.600 10000 2 5600 1.000
1 50 0.620 10000 2 5686 1.000
1 50 0.640 10000 2 5728 1.000
1 50 0.660 10000 2 5776 1.000
1 50 0.680 10000 2 5815 1.000
1 50 0.700 10000 2 5876 1.000
1 50 0.720 10000 2 5902 1.000
1 50 0.740 10000 2 5953 1.000
1 50 0.760 10000 2 5987 1.000
1 50 0.780 10000 2 6039 1.000
1 50 0.800 10000 2 6073 1.000
1 50 0.820 10000 2 6138 1.000
1 50 0.840 10000 2 6150 1.000
1 50 0.860 10000 2 6178 1.000
1 50 0.880 10000 2 6208 1.000
1 50 0.900 10000 2 6250 1.000
1 50 0.920 10000 2 6293 1.000
1 50 0.940 10000 2 6324 1.000
1 50 0.960 10000 2 6365 1.000
1 50 0.980 10000 2 6388 1.000
1 50 1.000 10000 2 6440 1.000
1 100 0.000 1 2 1 0.000
1 100 0.020 1 2 1 0.000
1 100 0.040 1 2 1 0.000
1 100 0.060 1 2 1 0.000
1 100 0.080 1 2 1 0.000
1 100 0.100 1 2 1 0.000
1 100 0.120 1 2 1 0.000
1 100 0.140 1 2 1 0.000
1 100 0.160 1 2 1 0.000
1 100 0.180 1 2 1 0.000
1 100 0.200 1 2 1 0.000
1 100 0.220 1 2 2 1.000
1 100 0.240 1 2 3 1.000
1 100 0.260 1 2 3 1.000
1 100 0.280 1 2 3 1.000
1 100 0.300 1 2 3 1.000
1 100 0.320 1 2 3 1.000
1 100 0.340 1 2 4 1.000
1 100 0.360 1 2 4 1.000
1 100 0.380 1 2 4 1.000
1 100 0.400 1 2 4 1.000
1 100 0.420 1 2 4 1.000
1 100 0.440 1 2 4 1.000
